date,price(USD)
5/29/2017,
5/30/2017,
5/31/2017,
6/1/2017,0.16823
6/2/2017,0.171186
6/3/2017,0.156534
6/4/2017,0.16598
6/5/2017,0.285023
6/6/2017,0.291649
6/7/2017,0.259213
6/8/2017,0.239285
6/9/2017,0.222104
6/10/2017,0.224807
6/11/2017,0.195443
6/12/2017,0.182321
6/13/2017,0.18294
6/14/2017,0.193745
6/15/2017,0.170145
6/16/2017,0.212512
6/17/2017,0.231731
6/18/2017,0.210064
6/19/2017,0.197917
6/20/2017,0.181185
6/21/2017,0.190874
6/22/2017,0.187434
6/23/2017,0.177803
6/24/2017,0.201123
6/25/2017,0.184799
6/26/2017,0.170003
6/27/2017,0.156799
6/28/2017,0.153965
6/29/2017,0.174455
6/30/2017,0.155257
7/1/2017,0.137327
7/2/2017,0.130978
7/3/2017,0.123965
7/4/2017,0.130143
7/5/2017,0.131036
7/6/2017,0.129022
7/7/2017,0.120991
7/8/2017,0.107888
7/9/2017,0.104821
7/10/2017,0.107231
7/11/2017,0.089364
7/12/2017,0.088
7/13/2017,0.102564
7/14/2017,0.09119
7/15/2017,0.086559
7/16/2017,0.078505
7/17/2017,0.071688
7/18/2017,0.088563
7/19/2017,0.096023
7/20/2017,0.082399
7/21/2017,0.099334
7/22/2017,0.102672
7/23/2017,0.136293
7/24/2017,0.127953
7/25/2017,0.144234
7/26/2017,0.116916
7/27/2017,0.121414
7/28/2017,0.115428
7/29/2017,0.10565
7/30/2017,0.10811
7/31/2017,0.100739
8/1/2017,0.104245
8/2/2017,0.120649
8/3/2017,0.116627
8/4/2017,0.140756
8/5/2017,0.140526
8/6/2017,0.159102
8/7/2017,0.165905
8/8/2017,0.171663
8/9/2017,0.170796
8/10/2017,0.160163
8/11/2017,0.198731
8/12/2017,0.229814
8/13/2017,0.209953
8/14/2017,0.211863
8/15/2017,0.197602
8/16/2017,0.195755
8/17/2017,0.219996
8/18/2017,0.250854
8/19/2017,0.213276
8/20/2017,0.21143
8/21/2017,0.206389
8/22/2017,0.195342
8/23/2017,0.189461
8/24/2017,0.195281
8/25/2017,0.205792
8/26/2017,0.205165
8/27/2017,0.203652
8/28/2017,0.210025
8/29/2017,0.228124
8/30/2017,0.246734
8/31/2017,0.237641
9/1/2017,0.272326
9/2/2017,0.291993
9/3/2017,0.242396
9/4/2017,0.241998
9/5/2017,0.202195
9/6/2017,0.217845
9/7/2017,0.224084
9/8/2017,0.249008
9/9/2017,0.216223
9/10/2017,0.219309
9/11/2017,0.201248
9/12/2017,0.213367
9/13/2017,0.211731
9/14/2017,0.193715
9/15/2017,0.154636
9/16/2017,0.187841
9/17/2017,0.220687
9/18/2017,0.235858
9/19/2017,0.243668
9/20/2017,0.211856
9/21/2017,0.222461
9/22/2017,0.201946
9/23/2017,0.196012
9/24/2017,0.211823
9/25/2017,0.198387
9/26/2017,0.215136
9/27/2017,0.212823
9/28/2017,0.234497
9/29/2017,0.249416
9/30/2017,0.235972
10/1/2017,0.246144
10/2/2017,0.253671
10/3/2017,0.254962
10/4/2017,0.263824
10/5/2017,0.245436
10/6/2017,0.23108
10/7/2017,0.232407
10/8/2017,0.213865
10/9/2017,0.193164
10/10/2017,0.191329
10/11/2017,0.194973
10/12/2017,0.19303
10/13/2017,0.191549
10/14/2017,0.174831
10/15/2017,0.176428
10/16/2017,0.158907
10/17/2017,0.17608
10/18/2017,0.165556
10/19/2017,0.162817
10/20/2017,0.153746
10/21/2017,0.151794
10/22/2017,0.143761
10/23/2017,0.141987
10/24/2017,0.139592
10/25/2017,0.157797
10/26/2017,0.153503
10/27/2017,0.147531
10/28/2017,0.143486
10/29/2017,0.155104
10/30/2017,0.146109
10/31/2017,0.146643
11/1/2017,0.153747
11/2/2017,0.139612
11/3/2017,0.163697
