date,price(USD)
4/18/2014,
4/19/2014,
4/20/2014,
4/21/2014,
4/22/2014,
4/23/2014,
4/24/2014,
4/25/2014,
4/26/2014,
4/27/2014,
4/28/2014,
4/29/2014,
4/30/2014,
5/1/2014,
5/2/2014,
5/3/2014,
5/4/2014,
5/5/2014,
5/6/2014,
5/7/2014,
5/8/2014,
5/9/2014,
5/10/2014,
5/11/2014,
5/12/2014,
5/13/2014,
5/14/2014,
5/15/2014,
5/16/2014,
5/17/2014,
5/18/2014,
5/19/2014,
5/20/2014,
5/21/2014,2.47
5/22/2014,1.59
5/23/2014,2.05
5/24/2014,2.92
5/25/2014,4.04
5/26/2014,3.22
5/27/2014,3.03
5/28/2014,2.24
5/29/2014,2.21
5/30/2014,1.68
5/31/2014,1.58
6/1/2014,1.94
6/2/2014,1.76
6/3/2014,1.73
6/4/2014,1.93
6/5/2014,1.7
6/6/2014,1.47
6/7/2014,1.24
6/8/2014,1.36
6/9/2014,1.33
6/10/2014,1.48
6/11/2014,1.72
6/12/2014,1.62
6/13/2014,1.65
6/14/2014,1.93
6/15/2014,2.32
6/16/2014,2.72
6/17/2014,3.15
6/18/2014,2.9
6/19/2014,2.78
6/20/2014,3.17
6/21/2014,4.33
6/22/2014,4.98
6/23/2014,4.28
6/24/2014,3.93
6/25/2014,3.23
6/26/2014,3.28
6/27/2014,2.98
6/28/2014,2.32
6/29/2014,2.55
6/30/2014,2.55
7/1/2014,2.51
7/2/2014,2.34
7/3/2014,2.31
7/4/2014,2.64
7/5/2014,2.64
7/6/2014,2.47
7/7/2014,2.4
7/8/2014,1.98
7/9/2014,2.3
7/10/2014,2.03
7/11/2014,1.86
7/12/2014,1.79
7/13/2014,1.73
7/14/2014,1.79
7/15/2014,1.95
7/16/2014,2.16
7/17/2014,2.71
7/18/2014,3.03
7/19/2014,2.59
7/20/2014,2.88
7/21/2014,2.67
7/22/2014,3.09
7/23/2014,3.2
7/24/2014,2.92
7/25/2014,2.37
7/26/2014,2.7
7/27/2014,2.62
7/28/2014,2.55
7/29/2014,2.7
7/30/2014,2.62
7/31/2014,2.52
8/1/2014,2.57
8/2/2014,2.67
8/3/2014,2.5
8/4/2014,2.36
8/5/2014,2.01
8/6/2014,2.2
8/7/2014,2.19
8/8/2014,2.14
8/9/2014,2.17
8/10/2014,2.05
8/11/2014,2.04
8/12/2014,2.08
8/13/2014,2
8/14/2014,1.91
8/15/2014,1.78
8/16/2014,1.59
8/17/2014,1.6
8/18/2014,1.47
8/19/2014,1.45
8/20/2014,1.66
8/21/2014,1.84
8/22/2014,1.82
8/23/2014,1.78
8/24/2014,1.81
8/25/2014,1.95
8/26/2014,2.09
8/27/2014,2.01
8/28/2014,2
8/29/2014,2.18
8/30/2014,2.21
8/31/2014,2.43
9/1/2014,2.17
9/2/2014,2.05
9/3/2014,1.95
9/4/2014,2.03
9/5/2014,2.05
9/6/2014,1.98
9/7/2014,1.94
9/8/2014,1.88
9/9/2014,1.88
9/10/2014,1.77
9/11/2014,1.97
9/12/2014,1.94
9/13/2014,1.88
9/14/2014,1.85
9/15/2014,1.82
9/16/2014,1.9
9/17/2014,1.84
9/18/2014,1.74
9/19/2014,1.57
9/20/2014,1.44
9/21/2014,1.27
9/22/2014,1.27
9/23/2014,1.26
9/24/2014,1.46
9/25/2014,1.5
9/26/2014,1.4
9/27/2014,1.38
9/28/2014,1.31
9/29/2014,1.22
9/30/2014,1.16
10/1/2014,1.21
10/2/2014,1.22
10/3/2014,1.18
10/4/2014,1.09
10/5/2014,0.977117
10/6/2014,0.878679
10/7/2014,0.980493
10/8/2014,1
10/9/2014,1.09
10/10/2014,1.1
10/11/2014,1.14
10/12/2014,1.08
10/13/2014,1.08
10/14/2014,1.1
10/15/2014,1.08
10/16/2014,0.986954
10/17/2014,0.998718
10/18/2014,0.973584
10/19/2014,0.965568
10/20/2014,0.995676
10/21/2014,0.952061
10/22/2014,0.956909
10/23/2014,0.942326
10/24/2014,0.842075
10/25/2014,0.763826
10/26/2014,0.74026
10/27/2014,0.697623
10/28/2014,0.704975
10/29/2014,0.687775
10/30/2014,0.632047
10/31/2014,0.61369
11/1/2014,0.607123
11/2/2014,0.586417
11/3/2014,0.577925
11/4/2014,0.575828
11/5/2014,0.547942
11/6/2014,0.570834
11/7/2014,0.590278
11/8/2014,0.619835
11/9/2014,0.643598
11/10/2014,0.71667
11/11/2014,0.734491
11/12/2014,0.718542
11/13/2014,0.735674
11/14/2014,0.700665
11/15/2014,0.692307
11/16/2014,0.638882
11/17/2014,0.651929
11/18/2014,0.586133
